sigma_std,noise,seed,phi,phi_tempvar,ar1,real_mean,real_std,frac_lo,frac_hi
0.05,0.7,10,0.9505027500679127,0.00045593320897055923,0.9723649951034019,0.6960296506151556,0.04792041356680575,0.0,0.015
0.05,0.7,11,0.9480340042463296,0.0005228082231854346,0.9730418882515715,0.6962019251347992,0.05149244393600205,0.0,0.01
0.05,0.7,12,0.9489268859443618,0.0008287634953488793,0.9834837493268866,0.7032273442910651,0.05307240298382973,0.0,0.04
0.05,0.7,13,0.9432304780822708,0.001025866755584132,0.9851551619739034,0.6954350429005423,0.0523366571016182,0.0,0.01
0.05,0.7,14,0.9457193911845155,0.0006744185514248895,0.977389240060236,0.7001236557038207,0.047716682279045845,0.0,0.01
0.05,0.7,15,0.9459183799732188,0.0009701595324512699,0.9845660542978248,0.7066528477731154,0.04961825167261132,0.0,0.01
0.05,0.7,16,0.9473267012515371,0.0008433433280406611,0.9824070749847171,0.7006051879465541,0.04568703364996098,0.0,0.01
0.05,0.7,17,0.9517513508188752,0.0006006779030845402,0.9793748623117148,0.704625542392675,0.056185829886048956,0.0,0.025
0.05,0.7,18,0.9531700163541701,0.0003936368927439784,0.9693625607050013,0.7049425612639503,0.04835013840146549,0.0,0.015
0.05,0.7,19,0.9505018487143122,0.0005050453753744405,0.9742479839500112,0.7040612761808955,0.044715753107211244,0.0,0.015
0.05,0.7,20,0.9477731365782491,0.0013377669683596655,0.9895784311754864,0.6969475379757898,0.049451818626803194,0.0,0.005
0.075,0.3,1,0.9892242208531454,2.440703681167577e-5,0.9738726339036036,0.6980611616619625,0.07381583287198916,0.0,0.065
0.075,0.3,2,0.9900578080618248,2.482957203452887e-5,0.9776993407938928,0.7000100612987902,0.07025571183248616,0.0,0.075
0.075,0.3,3,0.9883743632940211,2.7950182663033535e-5,0.9744411358844437,0.6970596880285599,0.07466684825108721,0.0,0.085
0.075,0.3,4,0.9907339574984888,1.5347640196404065e-5,0.9676090975125573,0.7031396357486145,0.07162132952306159,0.0,0.09
0.075,0.3,5,0.9900407471780484,1.6897377684108696e-5,0.9669852744513311,0.7067290175813754,0.07883597384401449,0.0,0.145
0.075,0.3,6,0.9898719767547581,2.806016601684813e-5,0.9798429469054742,0.6968693033593442,0.08057724670938925,0.0,0.08
0.075,0.3,7,0.9902186380529157,3.778031662870116e-5,0.98589664156782,0.7021851220287029,0.07250388157700655,0.0,0.075
0.075,0.3,8,0.9908153479890792,1.417172694671889e-5,0.9645343182417924,0.7080790510639094,0.07554428649908536,0.0,0.125
0.075,0.3,9,0.9921030772417085,9.101030180076794e-6,0.9606740080632631,0.7003755183969516,0.07921248350184934,0.0,0.105
0.075,0.3,10,0.9907716704886157,1.2165789941910906e-5,0.9579780693988178,0.7024222663270924,0.07530771219536629,0.0,0.07
0.075,0.3,11,0.989594419067132,1.4224466433415376e-5,0.9573898636093834,0.7043754467748015,0.07976673729254365,0.0,0.11
0.075,0.3,12,0.9900412005351129,3.0263793679648077e-5,0.9812853568188561,0.704618652603953,0.07937567792034293,0.0,0.105
0.075,0.3,13,0.9883454529474405,5.4239929252457e-5,0.9873959979809888,0.6931115200422606,0.07916222906102402,0.0,0.08
0.075,0.3,14,0.9911002256766294,1.155799378396774e-5,0.9591222844636365,0.6971648586626193,0.07442977048992375,0.0,0.065
0.075,0.3,15,0.9896931667995852,1.7990884405387912e-5,0.9664723444752293,0.7094755548749763,0.07655524983292382,0.0,0.125
0.075,0.3,16,0.98963734278415,2.23926326452176e-5,0.9734036311826579,0.7043322485618948,0.07909060109091369,0.0,0.105
0.075,0.3,17,0.9903965791249779,1.787777950244385e-5,0.9699352709496093,0.7064872977249017,0.08415472239554131,0.0,0.15
0.075,0.3,18,0.9907305124947334,1.846809093777247e-5,0.9721552455785902,0.7074735145161535,0.07243346922031617,0.0,0.09
0.075,0.3,19,0.9892838719952449,2.5028692686026798e-5,0.9746200179639634,0.7064351261339888,0.06688445550610256,0.0,0.075
0.075,0.3,20,0.9898212467311066,2.531829702563972e-5,0.9769578062834925,0.6955004377359189,0.07441799322458688,0.0,0.06
0.075,0.5,1,0.9710685297869877,0.0002502786012411771,0.9820714455692477,0.6980611616619625,0.07381583287198916,0.0,0.065
