sigma,seed,step,phi
0.25,1,34551,0.9749316562792365
0.25,1,34601,0.9782620491669242
0.25,1,34651,0.969085938217535
0.25,1,34701,0.972529571201869
0.25,1,34751,0.969340149661528
0.25,1,34801,0.9700821041724883
0.25,1,34851,0.9735773000967514
0.25,1,34901,0.9708534671572201
0.25,1,34951,0.965421638303529
0.25,1,35001,0.9803181668154682
0.25,1,35051,0.9484552921530623
0.25,1,35101,0.9833845534771687
0.25,1,35151,0.9705220606174404
0.25,1,35201,0.9604981753658934
0.25,1,35251,0.9781262659819772
0.25,1,35301,0.9688285874197634
0.25,1,35351,0.9576908204173019
0.25,1,35401,0.9622867566794895
0.25,1,35451,0.9674915232197906
0.25,1,35501,0.958733997269965
0.25,1,35551,0.9793422126554427
0.25,1,35601,0.9790859399808615
0.25,1,35651,0.9825920514382768
0.25,1,35701,0.9789087905040194
0.25,1,35751,0.9636240565909672
0.25,1,35801,0.9743524404845494
0.25,1,35851,0.9799753026313859
0.25,1,35901,0.9721069140184627
0.25,1,35951,0.9594747521051953
0.25,1,36001,0.9694932774836749
0.25,1,36051,0.9714258114197152
0.25,1,36101,0.966101376455071
0.25,1,36151,0.9556670658981845
0.25,1,36201,0.9505397653169966
0.25,1,36251,0.9839085868303888
0.25,1,36301,0.9686863732587313
0.25,1,36351,0.9824333838983723
0.25,1,36401,0.9790856586562643
0.25,1,36451,0.9376385837587402
0.25,1,36501,0.9319239159685736
0.25,1,36551,0.9698617062930461
0.25,1,36601,0.9786337255581907
0.25,1,36651,0.9803300560346309
0.25,1,36701,0.9712408210866266
0.25,1,36751,0.9026879051035362
0.25,1,36801,0.8615003782961326
0.25,1,36851,0.9223181801038567
0.25,1,36901,0.9189542723370789
0.25,1,36951,0.9575504464637967
0.25,1,37001,0.9578648143495776
0.25,1,37051,0.9643978613204492
0.25,1,37101,0.9651668065045401
0.25,1,37151,0.9785033341051417
0.25,1,37201,0.980513192058118
0.25,1,37251,0.9486349956851535
0.25,1,37301,0.9636664563996226
0.25,1,37351,0.9485981389405808
0.25,1,37401,0.9458293916198578
0.25,1,37451,0.9368294010457174
0.25,1,37501,0.9566657037823492
0.25,1,37551,0.9275329764348832
0.25,1,37601,0.8897286451428769
0.25,1,37651,0.9611947254486406
0.25,1,37701,0.9797004879100802
0.25,1,37751,0.9717266832298945
0.25,1,37801,0.9735911004405601
0.25,1,37851,0.9689637908210269
0.25,1,37901,0.9639001987481317
0.25,1,37951,0.9696300349580058
0.25,1,38001,0.9705125802181488
0.25,1,38051,0.9670379976426982
0.25,1,38101,0.9517448789699954
0.25,1,38151,0.9022892536013826
0.25,1,38201,0.922141599553478
0.25,1,38251,0.9673136799170964
0.25,1,38301,0.9790889871970948
0.25,1,38351,0.9537493191316695
0.25,1,38401,0.9582802951207773
0.25,1,38451,0.9682380853540945
0.25,1,38501,0.9465959342089271
0.25,1,38551,0.9539251966305675
0.25,1,38601,0.9436801134969863
0.25,1,38651,0.9763757881738273
0.25,1,38701,0.9770714241517495
0.25,1,38751,0.9697281042823249
0.25,1,38801,0.9367239715794904
0.25,1,38851,0.9448659608215223
0.25,1,38901,0.9464337187889323
0.25,1,38951,0.9616822221645928
