sigma,step,phi
0.2,4076,0.9831186298639982
0.2,4101,0.978526071722103
0.2,4126,0.9662532294134305
0.2,4151,0.9751465594681475
0.2,4176,0.9722561468527479
0.2,4201,0.9791964438833634
0.2,4226,0.9782753277474093
0.2,4251,0.9813053444277118
0.2,4276,0.9716350513109172
0.2,4301,0.9811026762985828
0.2,4326,0.9714503842362613
0.2,4351,0.9566012030456054
0.2,4376,0.9597386256016581
0.2,4401,0.9774229288991614
0.2,4426,0.9731948776583139
0.2,4451,0.9770894464449433
0.2,4476,0.9782213162216602
0.2,4501,0.9790851374126933
0.2,4526,0.9796125367860257
0.2,4551,0.9763035598644056
0.2,4576,0.9700276776465686
0.2,4601,0.9799110981897564
0.2,4626,0.9726482309385946
0.2,4651,0.9802009291610698
0.2,4676,0.9752478796504679
0.2,4701,0.9754276936513421
0.2,4726,0.9798644594509749
0.2,4751,0.968157183623457
0.2,4776,0.9751830686149559
0.2,4801,0.9728353154162589
0.2,4826,0.9803159590516692
0.2,4851,0.9820290347789119
0.2,4876,0.9806762649781054
0.2,4901,0.9789835231923948
0.2,4926,0.9813201756311271
0.2,4951,0.9799881664326168
0.2,4976,0.9798078796874127
0.2,5001,0.9767163322412014
0.2,5026,0.9776187107063251
0.2,5051,0.9661686895320319
0.2,5076,0.9755509219505342
0.2,5101,0.9672567826906314
0.2,5126,0.9756950521089643
0.2,5151,0.977660127285575
0.2,5176,0.9787446174384491
0.2,5201,0.9810972900507998
0.2,5226,0.9836515833673855
0.2,5251,0.9747409129133241
0.2,5276,0.9804067226047525
0.2,5301,0.9811060624858495
0.2,5326,0.9800476754779304
0.2,5351,0.9839926971108683
0.2,5376,0.9853498538484424
0.2,5401,0.9824060201207879
0.2,5426,0.9755817544966561
0.2,5451,0.9812718167064027
0.2,5476,0.9848169743225923
0.2,5501,0.9786856602289805
0.2,5526,0.977281828333401
0.2,5551,0.9685005120594489
0.2,5576,0.9846501486600685
0.2,5601,0.9835519763152297
0.2,5626,0.979830625131243
0.2,5651,0.9823657706199942
0.2,5676,0.9781126202462899
0.2,5701,0.9845014897449665
0.2,5726,0.9750102097291139
0.2,5751,0.9772738674036443
0.2,5776,0.9704984093650451
0.2,5801,0.9762787509756066
0.2,5826,0.9831059800704864
0.2,5851,0.9756248707778385
0.2,5876,0.9714586752682497
0.2,5901,0.9710978233118425
0.2,5926,0.975914406186917
0.2,5951,0.979102886829433
0.2,5976,0.9706895955307885
0.2,6001,0.9833666289778928
0.2,6026,0.9724409832787447
0.2,6051,0.9798642658102854
