N,sigma_std,noise,seed,phi,phi2,phi4,ar1,drift,real_std
100,0.175,0.5,12,0.9586873438531409,0.920922600293293,0.8538558789011323,0.9929232326562758,0.023624389818833524,0.1655937594809176
100,0.175,0.5,13,0.9550031548912288,0.9141151851891837,0.8418785808195269,0.9935557353787744,0.0019444315626667708,0.18927045859746727
100,0.175,0.5,14,0.9574695835687184,0.9177545672989424,0.8456690541921933,0.9873343660696753,0.008906652567926221,0.18157315827849677
100,0.175,0.5,15,0.9488968456964145,0.9018277855297598,0.8179894106461898,0.9880270887433172,0.0038350428195950137,0.18926036132317886
100,0.175,0.5,16,0.9494233156284466,0.9044625499210032,0.8259794226805025,0.9949676238986487,0.002682017825558769,0.1809123498653554
100,0.2,0.5,1,0.9531262434452134,0.9111179752604354,0.8375703763332131,0.9945858526217303,0.0009800452083791322,0.207435748978087
100,0.2,0.5,2,0.951752530292496,0.9075781072075056,0.8292404707169497,0.9906720530457802,0.006917133642558526,0.20068774093716157
100,0.2,0.5,3,0.9469254172811153,0.8993769989676602,0.8163557643091657,0.9936555537255995,0.017614335094301325,0.21045917474924897
100,0.2,0.5,4,0.9615329369956331,0.9257201522872041,0.8606944079259076,0.9906718820100017,0.00315255160883543,0.2075943384884369
100,0.2,0.5,5,0.9487803271776926,0.9021436062603514,0.8197404856877223,0.9916340873905434,0.015817677649532125,0.2074449330856561
100,0.2,0.5,6,0.9484684414409339,0.9016002032329546,0.8192167972585219,0.9914856091357405,0.009322803571855887,0.20605676576901702
100,0.2,0.5,7,0.9451944476555162,0.8955257456257623,0.8086307361385648,0.9920581931910227,0.008772314887052324,0.2068192697586071
100,0.2,0.5,8,0.9502471744832004,0.9049235625041882,0.8249904416203866,0.9919363986261481,0.015824622926393195,0.20416994036575142
100,0.2,0.5,9,0.9569994823246123,0.9167265084697803,0.8433810484379426,0.9855708270910974,0.011467594766510159,0.22627633795420748
100,0.2,0.5,10,0.9628358458728732,0.9276849837514701,0.8628015174579232,0.9834736440770664,0.004310862452069575,0.18851329080895604
100,0.2,0.5,11,0.9506750902353287,0.9056038474527374,0.8256958865652636,0.9913800525770301,0.02082892154608873,0.21098052343031912
100,0.2,0.5,12,0.9540385191768531,0.9114054920009921,0.8346235646103963,0.9878238031116767,0.011322856624324085,0.1908576560548206
100,0.2,0.5,13,0.9527869289985552,0.91311881366878,0.8460893761677798,0.9972655773598431,0.03072345888762018,0.20387292717862568
100,0.2,0.5,14,0.9478263027504581,0.9006155760161313,0.8179014793115863,0.9923587097224394,0.012717361606621624,0.20536318703247305
100,0.2,0.5,15,0.9448319269182731,0.8954874175330467,0.8099543933203655,0.9938077576097853,0.0014795070614280759,0.21650703361740778
100,0.2,0.5,16,0.9475124801240076,0.9004030558822654,0.8187202718395238,0.9940876893942097,0.0319147383638303,0.20828872798855227
