sigma,x,y,theta,w
0.3,10.517356198548967,1.038573918410428,2.949585036102551,0.8083839012456947
0.3,8.241363736330275,0.8730197176292969,2.9242450464573486,0.2924439361275636
0.3,6.47156511765489,2.844727959218146,2.626542823551515,0.9059041724137389
0.3,8.997872792589897,19.099662521488543,2.8459287221092446,0.8454084749747941
0.3,8.013515227412654,3.7241952050577463,2.7254305062543476,0.5423420630574286
0.3,8.534673145745128,1.6690686059485873,2.960682613105625,0.3329613537274126
0.3,3.348800123207222,2.5575219325863348,2.5449319701808215,0.8196992996860392
0.3,7.044576471899006,16.70516148080393,3.109821661515752,0.9746436569566045
0.3,14.389712376320253,15.531159542154256,2.9369628041962,0.9448911164507847
0.3,4.011011880479148,1.219629362449573,2.63759436268184,0.9458764456462269
0.3,7.275720477426743,0.8482201992468023,2.6645485524007806,0.6665943766203928
0.3,14.254596100398958,10.433510411555371,-1.5822426414740636,0.009678005951743054
0.3,11.225844069833594,14.04355224335948,2.74994741442398,0.9997421561454866
0.3,2.015592939312569,2.8988159314606747,2.749368802398607,0.8283579392805671
0.3,15.78738122780198,15.101842921880905,3.0475326207903226,0.9966649237431907
0.3,7.304310271174592,0.32697130662480456,2.790340608608619,0.4662356844466012
0.3,10.1027734178567,14.886146796410147,2.82492434367591,0.8483439047340184
0.3,16.339764851498828,15.276991388907094,3.2162819031103016,0.7075579437763576
0.3,5.546164035880801,19.713616101931144,2.8495820262833482,0.9999901573072967
0.3,10.394383379215501,19.694647193501535,2.950257740539767,0.40109447389459213
0.3,12.881315949755644,18.875681194462878,-2.8436260164250653,0.10629062302914104
0.3,3.6243126517194058,15.319711594965643,-1.9651498510550969,0.9152310188144062
0.3,3.975068788090703,0.4475535079363918,2.685796305176832,0.6722903508589722
0.3,10.856997350137874,13.470764780256097,2.55602271375046,0.659745068649436
0.3,10.813658040971147,15.515947898912527,2.174517992976538,0.2752257191786632
0.3,11.659100456991721,16.03415895060407,2.592347842477194,0.8835173909640331
0.3,12.284197691328355,18.197461648296567,2.843682914920973,0.7658318443154184
0.3,8.796349190746737,16.018552319694855,2.93675595333589,0.5918053903406792
0.3,7.934370313034256,3.7206462846852864,2.630934061053767,0.4709686908545367
0.3,5.505224252589043,2.6017424020671958,2.7791827300873155,0.7395639485372416
0.3,5.065423345871764,17.461700885509448,2.553172762742874,0.23441926264364724
0.3,9.014317783501747,5.817286449593397,2.995742775572989,0.9977295663759875
0.3,15.164908399791619,15.601160322805942,2.8514787055945834,0.5550311859783262
0.3,16.25010469935428,16.596648932116693,2.7400697162912406,0.19666999026468338
0.3,16.534387515526436,14.058594504819919,2.769463009707107,0.9004250639579662
0.3,7.440655309768121,3.356962886405228,2.7141047621778585,0.9902585014291394
0.3,4.569213802406386,2.8627518905419036,2.753091294659443,0.9619883435816166
0.3,5.892614362342285,19.25434112151703,2.831515411445752,0.506245483596001
0.3,16.173089100152254,16.12268004811135,3.025846869628488,0.8680570024703593
0.3,8.109725435523968,1.2348124288177658,2.593406268303244,0.9313676799906565
0.3,11.426101991203296,15.96526670030491,2.41934177948185,0.9933868725527564
0.3,4.43128008777344,14.688950182376276,-2.382443099533904,0.9407411751064395
0.3,7.628108803070885,1.7163825135306554,2.489469866352418,0.5340749051180146
0.3,5.6261772210869685,2.4511973753848895,2.7852587093587604,0.6851993550866984
0.3,8.170635992708418,5.360004818000368,2.967267745411204,0.7077482263187845
0.3,9.70515563753357,2.1438601896258924,2.940719945781034,0.9206977045828937
0.3,9.12565790308856,4.2720645079059505,2.6498487481843043,0.8131620078542414
0.3,10.409463998948388,18.784689367503482,2.891165247242264,0.9944261783669248
0.3,11.342014607034011,17.912303406540484,2.7468297615738435,0.24852063985449455
0.3,6.18871037367038,1.737599434019541,2.6171704812987935,0.7837820789553527
0.3,7.39968644244865,0.7486859167952256,2.764342649962743,0.8994048218423257
0.3,4.607960250680195,3.7041194129545336,2.5445451977068525,0.49916191257897113
0.3,5.518587039776122,1.185126304662085,2.5809135200670146,0.7590164458158408
0.3,5.172924432505735,8.263663545999478,2.3821660521076784,0.9996034303733823
0.3,7.962420645157318,2.2252295118391383,2.440287683835348,0.5058586602881724
0.3,8.581003717408116,1.6477151243375598,2.6594245716068046,0.9520078529459594
0.3,11.424853164548836,0.6027311415952614,3.0768208074831342,0.9779542795731359
0.3,4.532679921568836,3.1773984027100233,2.583181148498526,0.7089639406310145
0.3,5.036161845616596,1.7188302324180331,2.8710967074696048,0.6070819277999439
0.3,8.968135395440763,18.629402920759436,3.150433656169809,0.19193067134910505
0.3,5.218654238079541,19.321076110294488,3.0847212985006776,0.8666469089235074
